DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	1990	12	29	5	37	30	6430	10	44	6	28	-12.61	204.56	-24.33	114.0	0.4431	2448254.734375	5727.68	-353.08	0.3648333333333333	1837
g	1990	12	30	11	51	34	6430	0	3	0	3	-15.19	204.06	-8.22	147.18	0.2591	2448255.9941435186	612.1800000000002	-45.57	0.4543333333333334	1837
g	1991	1	2	13	11	3	6430	0	4	0	4	-7.47	204.89	32.82	261.14	0.5461	2448259.049340278	819.56	-29.88	0.6823333333333333	1837
g	1991	1	3	10	17	49	6430	3	33	3	26	-7.08	203.4	42.93	263.1	0.6829999999999999	2448259.929039352	5288.4000000000015	-184.08	0.7385	1837
g	1991	1	4	7	40	50	6430	0	18	0	17	-6.76	204.51	55.82	264.09	0.8276	2448260.8200231483	3476.67	-114.92	0.8101111111111111	1837
g	1991	1	5	12	10	46	6430	20	155	35	247	-7.49	204.06	70.98	263.28	0.9446	2448262.007476852	50402.82	-1850.03	0.8943333333333334	1837
g	1991	1	6	8	44	45	6430	13	85	41	270	-7.78	202.36	80.55	262.72	0.9861	2448262.8644097224	54637.2	-2100.6	0.9475	1837
g	1978	8	11	10	43	44	1248	0	1	0	1	10.71	115.59	-47.64	81.37	0.7366	2443731.947037037	115.59	10.71	0.2353333333333333	1671
g	1978	8	12	9	49	11	1248	0	1	0	1	9.57	115.59	-34.95	82.58	0.5719	2443732.9091550927	115.59	9.57	0.3058333333333333	1671
g	1978	8	15	15	43	33	1248	0	1	0	1	15.2	115.34	7.75	318.91	0.19899999999999998	2443736.1552430554	115.34	15.2	0.5430555555555555	1671
g	1978	8	17	10	7	33	1248	0	3	0	2	16.09	110.49	26.23	293.25	0.4637	2443737.921909722	220.98	32.18	0.6457222222222222	1671
g	2001	12	11	15	2	32	9737m	0	5	0	4	-19.38	299.25	-49.1	114.58	0.7864	2452255.126759259	1197.0	-77.52	0.2272222222222222	1984
g	2001	12	13	15	59	32	9737m	0	23	0	14	-17.28	294.17	-27.3	131.23	0.5229	2452257.1663425933	4118.38	-241.92	0.3483333333333333	1984
g	2001	12	14	11	47	4	9737m	0	7	0	4	-22.9	289.17	-21.17	141.46	0.5142	2452257.9910185183	1156.68	-91.6	0.3823888888888889	1984
g	2001	12	15	10	15	30	9737m	0	21	0	12	-19.25	279.35	-18.68	138.72	0.4593	2452258.927430556	3352.200000000001	-231.0	0.3962222222222222	1984
g	2001	12	16	11	22	30	9737m	1	47	0	25	-18.03	282.37	-1.89	171.53	0.3252	2452259.973958333	7059.25	-450.75	0.4895	1984
g	2001	12	17	11	32	49	9737m	0	6	0	3	-18.77	274.54	3.52	190.23	0.3133	2452260.981122685	823.6200000000001	-56.31	0.5195555555555555	1984
g	2015	8	4	6	8	40	12391m	0	15	0	8	17.68	119.94	30.11	294.44	0.527	2457238.7560185185	959.52	141.44	0.6672777777777777	2166
g	2015	8	3	8	28	45	12391m	0	24	0	14	17.06	126.78	25.01	300.66	0.4544	2457237.853298611	1774.92	238.84	0.6389444444444444	2166
g	2015	8	2	8	48	40	12391m	1	54	0	30	13.34	140.06	25.19	292.55	0.4462	2457236.867129629	4201.8	400.2	0.6399444444444444	2166
g	2015	8	1	7	22	48	12391m	0	32	0	16	15.79	135.91	7.03	325.87	0.2111	2457235.8075	2174.56	252.64	0.5390555555555555	2166
g	2015	7	31	12	13	36	12391m	0	50	0	27	18.26	131.22	-8.22	32.0	0.2573	2457235.0094444444	3542.94	493.02	0.4543333333333334	2166
g	2015	8	6	6	5	11	12391m	0	4	0	11	15.11	143.49	80.03	284.24	0.9819	2457240.753599537	1578.39	166.20999999999995	0.9446111111111112	2166
g	2015	7	29	7	0	0	12391m	0	33	0	19	14.72	137.17	-31.6	67.45	0.5329999999999999	2457232.791666666	2606.23	279.68	0.3244444444444444	2166
g	2015	7	28	15	11	4	12391m	0	22	0	12	12.97	151.29	-26.2	70.59	0.4505	2457232.1326851854	1815.48	155.64	0.35444444444444445	2166
g	2015	7	27	14	54	56	12391m	0	11	0	7	12.22	153.85	-37.02	75.49	0.5998	2457231.1214814815	1076.95	85.54	0.2943333333333333	2166
g	2015	7	30	12	3	47	12391m	0	36	0	20	12.11	143.37	-9.38	54.55	0.1967	2457234.002627315	2867.4	242.2	0.4478888888888889	2166
g	1978	7	25	8	22	30	1226a	0	3	0	1	22.72	41.11	11.78	328.54	0.3578	2443714.848958333	41.11	22.72	0.5654444444444444	1670
g	1978	7	27	10	27	36	1226a	0	10	0	7	26.84	22.19	20.44	322.45	0.5058	2443716.935833333	155.33	187.88	0.6135555555555555	1670
g	1978	7	29	7	59	55	1226a	0	3	0	2	28.52	18.4	41.76	305.3	0.7181	2443718.833275463	36.8	57.04	0.732	1671
g	2015	10	18	10	59	48	12434p	0	3	0	2	28.25	130.56	-46.24	57.14	0.7597	2457313.9581944444	261.12	56.5	0.2431111111111111	2169
g	2015	10	21	6	44	20	12434p	0	8	0	5	22.69	144.37	4.86	344.68	0.31	2457316.7807870368	721.85	113.45	0.527	2169
g	2015	10	22	6	48	50	12434p	0	3	0	2	24.29	140.38	14.07	325.38	0.4105	2457317.783912037	280.76	48.58	0.5781666666666666	2169
g	1981	9	22	6	5	16	3358	8	30	5	18	20.04	228.11	-37.0	66.39	0.6192	2444869.753657408	4105.980000000001	360.72	0.29444444444444445	1713
g	1981	9	24	6	42	50	3358	0	5	0	3	16.12	225.5	-12.88	50.2	0.2715	2444871.77974537	676.5	48.36	0.4284444444444445	1713
g	1981	9	25	9	24	2	3358	0	4	0	3	14.13	226.5	2.79	339.26	0.1341	2444872.891689814	679.5	42.39	0.5155000000000001	1713
g	2015	6	18	13	29	53	12369p	0	7	0	4	18.6	325.84	-21.97	49.99	0.465	2457192.0624189815	1303.36	74.4	0.3779444444444445	2165
g	2015	6	22	6	37	20	12369p	0	3	0	2	18.35	327.19	28.57	302.41	0.5397	2457195.775925926	654.38	36.7	0.6587222222222222	2165
g	2015	6	23	8	3	45	12369p	0	2	0	1	22.61	310.42	25.83	311.52	0.5393	2457196.8359375	310.42	22.61	0.6435	2165
