DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	2015	2	14	11	38	34	12280r	0	4	0	3	-29.58	223.06	36.95	232.03	0.6656	2457067.985115741	669.1800000000002	-88.74	0.7052777777777778	2160
g	2015	2	13	10	18	7	12280r	0	4	0	3	-27.99	243.23	43.22	237.14	0.7222	2457066.929247685	729.6899999999998	-83.97	0.7401111111111109	2160
g	2015	2	11	7	18	34	12280r	0	11	0	5	-18.25	237.06	9.05	211.4	0.2871	2457064.8045601854	1185.3	-91.25	0.5502777777777778	2160
g	2015	2	10	11	32	9	12280r	0	8	0	5	-10.67	240.64	1.81	204.07	0.0789	2457063.9806597224	1203.1999999999996	-53.35	0.5100555555555556	2160
g	2015	2	8	12	7	29	12280r	0	7	0	4	-6.36	274.26	9.38	188.3	0.494	2457062.0051967595	1097.04	-25.44	0.5521111111111111	2160
g	2015	2	9	4	1	0	12280r	0	19	0	11	-12.06	269.47	13.34	210.47	0.3805	2457062.667361111	2964.17	-132.66	0.5741111111111111	2160
g	2015	2	6	10	36	0	12280r	0	52	0	26	-6.09	296.58	4.56	273.19	0.0797	2457059.941666667	7711.08	-158.34	0.5253333333333333	2160
g	2015	2	5	13	39	14	12280r	0	39	0	22	-16.58	283.91	-19.54	105.54	0.3691	2457059.0689120367	6246.02	-364.76	0.3914444444444445	2160
g	2015	2	4	10	29	12	12280r	0	2	0	1	-11.47	305.62	-12.79	113.41	0.2375	2457057.9369444447	305.62	-11.47	0.4289444444444445	2160
g	2015	2	3	7	55	32	12280r	0	2	0	1	-13.93	291.24	-41.75	104.05	0.6686	2457056.8302314817	291.24	-13.93	0.26805555555555555	2160
g	2015	2	2	13	1	50	12280r	2	10	1	6	-5.06	299.37	-43.98	90.25	0.6936	2457056.0429398147	1796.22	-30.36	0.2556666666666667	2160
g	2015	2	7	9	53	46	12280r	0	33	0	17	-12.88	291.48	12.22	235.82	0.2989	2457060.912337963	4955.16	-218.96	0.5678888888888889	2160
g	2015	3	10	15	23	58	12292s	0	4	0	2	-21.16	232.7	4.76	197.8	0.2544	2457092.1416435186	465.4	-42.32	0.5264444444444445	2161
g	2015	3	4	8	45	33	12292s	0	3	0	1	-6.56	296.92	-13.71	87.97	0.2366	2457085.8649652777	296.92	-6.56	0.4238333333333333	2161
g	2015	3	5	13	21	34	12292s	0	5	0	2	-18.04	273.24	-21.69	119.12	0.40399999999999997	2457087.0566435186	546.48	-36.08	0.3795	2161
g	2015	3	7	12	15	31	12292s	0	3	0	2	-19.11	295.54	26.32	242.52	0.4742	2457089.010775463	591.08	-38.22	0.6462222222222221	2161
g	2015	3	8	13	50	28	12292s	0	3	0	2	-21.35	231.59	-23.55	124.25	0.4521	2457090.076712963	463.18	-42.7	0.3691666666666667	2161
g	2015	3	9	13	7	56	12292s	0	29	0	16	-22.43	232.36	-9.99	148.2	0.3102	2457091.047175926	3717.76	-358.88	0.4445	2161
g	2015	3	17	9	30	0	12297o	0	4	0	2	-21.54	163.6	24.69	236.28	0.4691	2457098.895833333	327.2	-43.08	0.6371666666666667	2161
g	2015	3	16	8	20	22	12297o	0	4	0	2	-20.08	158.13	5.38	201.44	0.242	2457097.8474768517	316.26	-40.16	0.5298888888888889	2161
g	2015	3	14	15	6	53	12297o	0	15	0	8	-8.35	175.85	0.48	141.99	0.1715	2457096.1297800927	1406.8	-66.8	0.5026666666666667	2161
g	2015	3	26	0	39	0	12307p	0	54	0	27	-7.35	23.28	-1.84	105.42	0.0332	2457107.527083333	628.5600000000002	-198.45	0.4897777777777778	2161
g	2015	3	27	8	20	57	12307p	0	30	0	14	-7.55	17.74	10.05	272.28	0.1945	2457108.8478819444	248.36	-105.7	0.5558333333333333	2161
g	2015	3	28	7	39	45	12307p	0	9	0	5	-8.11	24.36	29.48	265.46	0.4907	2457109.819270833	121.8	-40.55	0.6637777777777778	2162
g	2015	3	25	0	22	0	12307p	0	43	0	23	-5.57	25.25	-13.21	85.37	0.2389	2457106.5152777783	580.75	-128.11	0.4266111111111111	2161
g	2015	3	24	9	4	53	12307p	0	7	0	3	-2.72	29.37	-17.49	70.8	0.3129	2457105.878391204	88.11	-8.16	0.4028333333333334	2161
g	2015	3	23	8	41	31	12307p	0	6	0	3	-15.13	26.44	-33.78	107.17	0.5717	2457104.862164352	79.32000000000002	-45.39	0.3123333333333333	2161
g	2015	3	22	15	1	30	12307p	0	2	0	1	-8.28	32.2	-37.8	94.53	0.6107	2457104.126041666	32.2	-8.28	0.29000000000000004	2161
g	2015	4	2	8	48	53	12310	0	5	0	4	17.21	335.12	46.82	297.84	0.79	2457114.867280093	1340.48	68.84	0.7601111111111111	2162
g	2015	3	24	9	4	53	12310	31	121	36	157	11.34	341.49	-65.37	74.73	0.9124	2457105.878391204	53613.93	1780.38	0.1368333333333333	2161
g	2015	3	25	0	22	0	12310	47	179	46	171	11.27	342.15	-56.31	72.44	0.8459	2457106.5152777783	58507.65	1927.17	0.18716666666666665	2161
g	2015	3	22	15	1	30	12310	0	3	0	5	5.9	355.16	-74.84	82.07	0.9704	2457104.126041666	1775.8000000000004	29.5	0.0842222222222222	2161
g	2015	3	26	0	39	0	12310	37	163	27	125	13.0	339.55	-45.57	66.4	0.7512	2457107.527083333	42443.75	1625.0	0.2468333333333333	2161
g	2015	3	27	8	20	57	12310	34	179	22	110	13.31	340.18	-27.52	51.91	0.552	2457108.8478819444	37419.8	1464.1	0.34711111111111115	2161
